Name,Specimen_collector,Collector_number,Petiole length (mm),Petiolet length (mm),Mass of Leaf Sample (g),Petal Length (mm),
Agrimonia gryposepala,H. Appel & J. Gendlin,462,0,,0.0015,,
Agrimonia gryposepala,H. Appel & J. Gendlin,462,0,,,,
Agrimonia gryposepala,H. Appel & J. Gendlin,462,0,,,,
Agrimonia gryposepala,Robert W. Smith,3473,0,,0.0008,3.3,
Agrimonia gryposepala,Robert W. Smith,3473,0,,,3.1,
Agrimonia gryposepala,Robert W. Smith,3473,0,,,2.6,
Agrimonia gryposepala,E.G. Voss,16799,0,,0.001,,
Agrimonia gryposepala,E.G. Voss,16799,0,,,,
Agrimonia gryposepala,E.G. Voss,16799,0,,,,
,,,,,,,
Agrimonia parviflora,Beverly S. Walters,1435,0,,0.0019,2.4,
Agrimonia parviflora,Beverly S. Walters,1435,0,,,2.6,
Agrimonia parviflora,Beverly S. Walters,1435,0,,,2,
Agrimonia parviflora,Robert W. Smith,2890,0,,0.0018,2.4,
Agrimonia parviflora,Robert W. Smith,2890,0,,,1.6,
Agrimonia parviflora,Robert W. Smith,2890,0,,,1.9,
Agrimonia parviflora,William S. Martinus,871,0,,0.0016,,
Agrimonia parviflora,William S. Martinus,871,0,,,,
Agrimonia parviflora,William S. Martinus,871,0,,,,
,,,,,,,
Agrimonia pubescens,Beverly S. Walters,1446,0,,0.0011,,
Agrimonia pubescens,Beverly S. Walters,1446,0,,,,
Agrimonia pubescens,Beverly S. Walters,1446,0,,,,
Agrimonia pubescens,Robert W. Smith,211,0,,0.001,,
Agrimonia pubescens,Robert W. Smith,211,0,,,,
Agrimonia pubescens,Robert W. Smith,211,0,,,,
Agrimonia pubescens,Joshua C. Springer,290,0,,,2.5,
Agrimonia pubescens,Joshua C. Springer,290,0,,,3,
Agrimonia pubescens,Joshua C. Springer,290,0,,,2.6,
,,,,,,,
Agrimonia rostellata,Steven P. Grund,618,0,,,2.9,
Agrimonia rostellata,Steven P. Grund,618,0,,,2.5,
Agrimonia rostellata,Steven P. Grund,618,0,,,,
Agrimonia rostellata,Steven P. Grund,573,0,,,2.8,
Agrimonia rostellata,Steven P. Grund,573,0,,,2.4,
Agrimonia rostellata,Steven P. Grund,573,0,,,2.3,
Agrimonia rostellata,Bev Walters,1272,0,,,,
Agrimonia rostellata,Bev Walters,1272,0,,,,
Agrimonia rostellata,Bev Walters,1272,0,,,,
,,,,,,,
Agrimonia striata,Don Henson,1712,0,,,3,
Agrimonia striata,Don Henson,1712,0,,,3.1,
Agrimonia striata,Don Henson,1712,0,,,2.8,
Agrimonia striata,Don Henson,1540,0,,,,
Agrimonia striata,Don Henson,1540,0,,,,
Agrimonia striata,Don Henson,1540,0,,,,
Agrimonia striata,Thomas G. Lammers,11880,0,,,2.8,
Agrimonia striata,Thomas G. Lammers,11880,0,,,2.2,
Agrimonia striata,Thomas G. Lammers,11880,0,,,2,
,,,,,,,
Alchemilla mollis,William S. Martinus,687,242.4,,,1.2,
Alchemilla mollis,William S. Martinus,687,63.6,,,1.8,
Alchemilla mollis,William S. Martinus,687,16.3,,,1.6,
Alchemilla mollis,William S. Martinus,1115,81.6,,,,
Alchemilla mollis,William S. Martinus,1115,70.4,,,,
Alchemilla mollis,William S. Martinus,1115,56.5,,,,
,,,,,,,
Amelanchier arborea,John V. Freudenstein,432,9.7,,,,
Amelanchier arborea,John V. Freudenstein,432,6.3,,,,
Amelanchier arborea,John V. Freudenstein,432,8,,,,
Amelanchier arborea,Ruth B. MacFarlane,4487b,13.4,,0.0008,,
Amelanchier arborea,Ruth B. MacFarlane,4487b,11.6,,,,
Amelanchier arborea,Ruth B. MacFarlane,4487b,13.2,,,,
Amelanchier arborea,John V. Freudenstein,391,5.6,,0.001 (2),,
Amelanchier arborea,John V. Freudenstein,391,6.3,,,,
Amelanchier arborea,John V. Freudenstein,391,9.2,,,,
Amelanchier arborea,D. Sheils,121,6.8,,0.0009,,
Amelanchier arborea,D. Sheils,121,8.9,,,,
Amelanchier arborea,D. Sheils,121,17.8,,,,
Amelanchier arborea,David Gorchov,E-8,11.5,,0.0011,,
Amelanchier arborea,David Gorchov,E-8,10.6,,,,
Amelanchier arborea,David Gorchov,E-8,9.5,,,,
Amelanchier arborea,David Gorchov,E-7,,,0.0013,,
,,,,,,,
Amelanchier bartramiana,Frank Bowers & David Hillier,-,3.8,,,,
Amelanchier bartramiana,Frank Bowers & David Hillier,-,4.2,,,,
Amelanchier bartramiana,Frank Bowers & David Hillier,-,6.1,,,,
Amelanchier bartramiana,E.G. Voss,14097,3.3,,,5,
Amelanchier bartramiana,E.G. Voss,14097,3.4,,,6.4,
Amelanchier bartramiana,E.G. Voss,14097,4.7,,,5.8,
Amelanchier bartramiana,E.G. Voss,15922,7.3,,,,
Amelanchier bartramiana,E.G. Voss,15922,12,,,,
Amelanchier bartramiana,E.G. Voss,15922,8.9,,,,
,,,,,,,
Amelanchier interior ,E. G. Voss,15688,20.4,,,,
Amelanchier interior ,E. G. Voss,15688,21.2,,,,
Amelanchier interior ,E. G. Voss,15688,11.5,,,,
Amelanchier interior ,Russ Garlitz,237,9.4,,,8.6,
Amelanchier interior ,Russ Garlitz,237,13.7,,,12.3,
Amelanchier interior ,Russ Garlitz,237,11.4,,,12,
Amelanchier interior ,Robert W. Smith,3233,12.4,,,,
Amelanchier interior ,Robert W. Smith,3233,15,,,,
Amelanchier interior ,Robert W. Smith,3233,11,,,,
,,,,,,,
Amelanchier laevis,David Warners,2232,25.5,,,,
Amelanchier laevis,David Warners,2232,21,,,,
Amelanchier laevis,David Warners,2232,21.5,,,,
Amelanchier laevis,Brian T. Hazlett,4592,13.1,,,,
Amelanchier laevis,Brian T. Hazlett,4592,10.2,,,,
Amelanchier laevis,Brian T. Hazlett,4592,11.9,,,,
Amelanchier laevis,David Gorchov,-,9.8,,,10.5,
Amelanchier laevis,David Gorchov,-,10.5,,,13,
Amelanchier laevis,David Gorchov,-,13.7,,,10.7,
,,,,,,,
Amelanchier sanguinea,Brain T. Hazlett,4748,8,,,12.9,
Amelanchier sanguinea,Brain T. Hazlett,4748,5.3,,,14,
Amelanchier sanguinea,Brain T. Hazlett,4748,12.4,,,13.6,
Amelanchier sanguinea,E.G. Voss,16336,14.8,,,,
Amelanchier sanguinea,E.G. Voss,16336,11.7,,,,
Amelanchier sanguinea,E.G. Voss,16336,15.7,,,,
Amelanchier sanguinea,Brain T. Hazlett,4635,13.6,,,,
Amelanchier sanguinea,Brain T. Hazlett,4635,10,,,,
Amelanchier sanguinea,Brain T. Hazlett,4635,11.9,,,,
,,,,,,,
Amelanchier humilis,"M.B Burgess, C.S. Campbell",(09-086),9.6,,,,
Amelanchier humilis,"M.B Burgess, C.S. Campbell",(09-086),12.7,,,,
Amelanchier humilis,"M.B Burgess, C.S. Campbell",(09-086),12.3,,,,
Amelanchier humilis,Steve Garske ,196,7.1,,,9.8,
Amelanchier humilis,Steve Garske ,196,12.2,,,9.5,
Amelanchier humilis,Steve Garske ,196,11.3,,,10.4,
Amelanchier humilis,"M.B Burgess, C.S. Campbell",(10-319),16.9,,,,
Amelanchier humilis,"M.B Burgess, C.S. Campbell",(10-319),14.2,,,,
Amelanchier humilis,"M.B Burgess, C.S. Campbell",(10-319),15.7,,,,
,,,,,,,
Aronia prunifolia,E. G. Voss,15507,3.8,,0.0017,,
Aronia prunifolia,E. G. Voss,15507,6.2,,,,
Aronia prunifolia,E. G. Voss,15507,2.4,,,,
Aronia prunifolia,N. Wm. Easterly,11843,7.9,,0.0014,,
Aronia prunifolia,N. Wm. Easterly,11843,5.3,,,,
Aronia prunifolia,N. Wm. Easterly,11843,2.9,,,,
Aronia prunifolia,Eric A. Bourdo Jr.,28520,4.3,,0.0031,,
Aronia prunifolia,Eric A. Bourdo Jr.,28520,5.9,,,,
Aronia prunifolia,Eric A. Bourdo Jr.,28520,2.3,,,,
Aronia prunifolia,Kathleen A Kron,957,4.2,,0.0018,, 
Aronia prunifolia,Kathleen A Kron,957,1.9,,,,
Aronia prunifolia,Kathleen A Kron,957,4.5,,,,
Aronia prunifolia,Robert W. Smith,4593,5,,,,
Aronia prunifolia,Robert W. Smith,4593,4,,,,
Aronia prunifolia,Robert W. Smith,4593,7.4,,,,
Aronia prunifolia,Brian T. Hazlett,2815,7.3,,0.0017,,
Aronia prunifolia,Brian T. Hazlett,2815,5.9,,,,
Aronia prunifolia,Brian T. Hazlett,2815,5.5,,,,
,,,,,,,
Crataegus brainerdii,Steve Garske,437,18.5,,0.0015,,
Crataegus brainerdii,Steve Garske,437,16.9,,,,
Crataegus brainerdii,Steve Garske,437,22.7,,,,
Crataegus brainerdii,Steve Garske,386,18.4,,0.0013,7.7,
Crataegus brainerdii,Steve Garske,386,10.7,,,8.1,
Crataegus brainerdii,Steve Garske,386,19.3,,,7.4,
Crataegus brainerdii,Emma J. Cole,52775,24.6,,0.0021,7.4,
Crataegus brainerdii,Emma J. Cole,52775,14.2,,,7,
Crataegus brainerdii,Emma J. Cole,52775,21.2,,,8.8,
,,,,,,,
Crataegus calpodendron,P. A. Hyypio ,1254,13.1,,,7.3,
Crataegus calpodendron,P. A. Hyypio ,1254,8.8,,,7,
Crataegus calpodendron,P. A. Hyypio ,1254,10.3,,,8.3,
Crataegus calpodendron,J. B. Phipps,5421,9.6,,,,
Crataegus calpodendron,J. B. Phipps,5421,9.1,,,,
Crataegus calpodendron,J. B. Phipps,5421,8.6,,,,
Crataegus calpodendron,P. A. Hyypio ,1442,14.3,,,,
Crataegus calpodendron,P. A. Hyypio ,1442,15.8,,,,
Crataegus calpodendron,P. A. Hyypio ,1442,15,,,,
,,,,,,,
Crataegus chrysocarpa,Don Henson,15526,23.8,,0.0022,,
Crataegus chrysocarpa,Don Henson,15526,9.2,,,,
Crataegus chrysocarpa,Don Henson,15526,13.4,,,,
Crataegus chrysocarpa,Christopher Leifson,14,22.9,,0.001,,
Crataegus chrysocarpa,Christopher Leifson,14,19.6,,0.0013,,
Crataegus chrysocarpa,Christopher Leifson,14,9.2,,0.0009,,
Crataegus chrysocarpa,Emil P. Kruschke,K-69-40,12.1,,0.0021,6.9,
Crataegus chrysocarpa,Emil P. Kruschke,K-69-40,23.4,,,8.1,
Crataegus chrysocarpa,Emil P. Kruschke,K-69-40,18.5,,,7.2,
Crataegus chrysocarpa,Emil P. Kruschke,K-69-41,23.5,,0.0022,,
Crataegus chrysocarpa,Emil P. Kruschke,K-69-41,21.9,,,,
Crataegus chrysocarpa,Emil P. Kruschke,K-69-41,19.8,,,,
,,,,,,,
Crataegus coccinioides,Oliver A. Farwell,8334 (May 14),13.6,,0.0013,6.5,
Crataegus coccinioides,Oliver A. Farwell,8334 (May 14),17,,,6.2,
Crataegus coccinioides,Oliver A. Farwell,8334 (May 14),,,,7.4,
Crataegus coccinioides,Oliver A. Farwell,8334 (Sept.17),20.3,,0.0022,,
Crataegus coccinioides,Oliver A. Farwell,8334 (Sept.17),13,,,,
Crataegus coccinioides,Oliver A. Farwell,8334 (Sept.17),22,,,,
,,,,,,,
Crataegus coccinea,Bradford S. Slaughter,1413,31.2,,,,
Crataegus coccinea,R.E. Preston,92048,23.3,,,,
Crataegus coccinea,R.E. Preston,92048,16.5,,,,
Crataegus coccinea,R.E. Preston,92048,32.6,,,,
,,,,,,,
Crataegus coleae,Emma J. Cole,52769,11.5,,0.0024,7.3,
Crataegus coleae,Emma J. Cole,52769,15.6,,,6.2,
Crataegus coleae,Emma J. Cole,52769,13.8,,,6.7,
Crataegus coleae,-,99,17.7,,0.0023,,
Crataegus coleae,-,99,11.9,,,,
Crataegus coleae,-,99,14.8,,,,
Crataegus coleae,C.W. Baziun,5294,22.6,,0.0013,,
Crataegus coleae,C.W. Baziun,5294,14.6,,,,
Crataegus coleae,C.W. Baziun,5294,18.4,,,,
,,,,,,,
Crataegus compacta ,J.B. Phillips,5431,20.6,,0.0034,,
Crataegus compacta ,J.B. Phillips,5431,14.9,,,,
Crataegus compacta ,J.B. Phillips,5431,15.2,,,,
Crataegus compacta ,-,16A,16.6,,0.0008,7.1,
Crataegus compacta ,-,16A,10.1,,,7.6,
Crataegus compacta ,-,16A,22.7,,,6.8,
Crataegus compacta ,Bradford S. Slaughter,2047,31.1,,0.0009,5.7,
Crataegus compacta ,Bradford S. Slaughter,2047,22.5,,,6.9,
Crataegus compacta ,Bradford S. Slaughter,2047,15.6,,,,
,,,,,,,
Cragaegus crus-galli,"Coll. J. Dan Skean, Jr. ",2203,5.6,,0.0032,,
Cragaegus crus-galli,"Coll. J. Dan Skean, Jr. ",2203,6.1,,,,
Cragaegus crus-galli,"Coll. J. Dan Skean, Jr. ",2203,5.5,,,,
Cragaegus crus-galli,Robert W. Smith,3187,5.8,,0.0017,4.8,
Cragaegus crus-galli,Robert W. Smith,3187,7.5,,,5,
Cragaegus crus-galli,Robert W. Smith,3187,8.5,,,5.3,
Cragaegus crus-galli,Peter Fritsch,1051,5.4,,0.0028,6.3,
Cragaegus crus-galli,Peter Fritsch,1051,7.4,,,6.7,
Cragaegus crus-galli,Peter Fritsch,1051,3.8,,,7.1,
,,,,,,,
Crataegus dodgei,C.K. Dodge,52828,19.3,,0.0021,6.8,
Crataegus dodgei,C.K. Dodge,52828,15.5,,,6.3,
Crataegus dodgei,C.K. Dodge,52828,15.7,,,6.4,
Crataegus dodgei,E.G. Voss,12056,11.9,,0.0021,,
Crataegus dodgei,E.G. Voss,12056,14.7,,,,
Crataegus dodgei,E.G. Voss,12056,14.1,,,,
Crataegus dodgei,E.G. Voss,3286,15.3,,0.0022,,
Crataegus dodgei,E.G. Voss,3286,18.4,,,,
Crataegus dodgei,E.G. Voss,3286,12.1,,,,
,,,,,,,
Crataegus douglasii,R. G. Schipper,396,9.5,,0.002,,
Crataegus douglasii,R. G. Schipper,396,14.7,,,,
Crataegus douglasii,R. G. Schipper,396,16.2,,,,
Crataegus douglasii,E.G. Voss ,11878,12.7,,0.0014,4.3,
Crataegus douglasii,E.G. Voss ,11878,16.1,,,,
Crataegus douglasii,E.G. Voss ,11878,18,,,,
Crataegus douglasii,M. Jaunzems,Sept. 3 2003,17.2,,0.0023,,
Crataegus douglasii,M. Jaunzems,Sept. 3 2004,18.5,,,,
Crataegus douglasii,M. Jaunzems,Sept. 3 2005,12.6,,,,
,,,,,,,
Crataegus holmesiana,Dale A. Zimmerman,937,18.7,,0.0026,,
Crataegus holmesiana,Dale A. Zimmerman,937,20.4,,,,
Crataegus holmesiana,Dale A. Zimmerman,937,29.2,,,,
Crataegus holmesiana,John v. Freudenstein,495,18.7,,0.0023,6.8,
Crataegus holmesiana,John v. Freudenstein,495,20.5,,,6.7,
Crataegus holmesiana,John v. Freudenstein,495,17.1,,,7.5,
Crataegus holmesiana,,,,,,,
Crataegus holmesiana,,,,,,,
Crataegus holmesiana,,,,,,,
,,,,,,,
Crataegus mollis,William S. Martinus,988,37.4,,0.0011,,
Crataegus mollis,William S. Martinus,988,48.1,,,,
Crataegus mollis,William S. Martinus,988,25.2,,,,
,,,,,,,
Crataegus macrosperma,Jesse M. Lincoln,44,20.2,,0.001,,
Crataegus macrosperma,Jesse M. Lincoln,44,25.8,,,,
Crataegus macrosperma,Jesse M. Lincoln,44,18.2,,,,
,,,,,,,
Crataegus intricata,H. H. Bartlett,-,27.6,,0.0023,,
Crataegus intricata,H. H. Bartlett,-,24.6,,,,
Crataegus intricata,H. H. Bartlett,-,22.8,,,,
Crataegus intricata,Robert W. Smith,1524,15.2,,0.14,8.1,
Crataegus intricata,Robert W. Smith,1524,16,,,8.3,
Crataegus intricata,Robert W. Smith,1524,15.3,,,7.1,
Crataegus intricata,Robert W. Smith,3200,19,,0.007,8.8,
Crataegus intricata,Robert W. Smith,3200,16.6,,,5.9,
Crataegus intricata,Robert W. Smith,3200,22.8,,,7.2,
,,,,,,,
Crataegus irrasa,Emil P. Kruschke,K-69-42,16.2,,0.0008,,
Crataegus irrasa,Emil P. Kruschke,K-69-42,25.1,,,,
Crataegus irrasa,Emil P. Kruschke,K-69-42,18.3,,,,
Crataegus irrasa,E.G. Voss,16302,22.3,,0.0023,,
Crataegus irrasa,E.G. Voss,16302,23.6,,,,
Crataegus irrasa,E.G. Voss,16302,26.7,,,,
Crataegus irrasa,Don Henson,2420,19,,0.0021,,
Crataegus irrasa,Don Henson,2420,21.4,,,,
Crataegus irrasa,Don Henson,2420,13.3,,,,
,,,,,,,
Crataegus jessupii,-,1,31.9,,0.0026,5.1,
Crataegus jessupii,-,1,27.5,,,5.6,
Crataegus jessupii,-,1,19.4,,,5.5,
Crataegus jessupii,Robert W. Smith,1525,19.2,,0.0021,9,
Crataegus jessupii,Robert W. Smith,1525,18.7,,,8.9,
Crataegus jessupii,Robert W. Smith,1525,23.2,,,7.1,
Crataegus jessupii,Robert W. Smith,3125,22.5,,0.0013,7.2,
Crataegus jessupii,Robert W. Smith,3125,27.6,,,7.8,
Crataegus jessupii,Robert W. Smith,3125,15.9,,,7,
,,,,,,,
Crataegus lucorum,C.K. Dodge,10-A,18.9,,0.0017,,
Crataegus lucorum,C.K. Dodge,10-A,17,,,,
Crataegus lucorum,C.K. Dodge,10-A,18.3,,,,
Crataegus lucorum,C.K. Dodge,10-A,29.6,,0.0021,,
Crataegus lucorum,C.K. Dodge,10-A,24.7,,,,
Crataegus lucorum,C.K. Dodge,10-A,26.1,,,,
Crataegus lucorum,Robert W. Smith,482,19.7,,0.0014,7.2,
Crataegus lucorum,Robert W. Smith,482,14.4,,,7.3,
Crataegus lucorum,Robert W. Smith,482,15.4,,,8.7,
,,,,,,,
Crataegus pedicellata,E.G. Voss,15179,41.3,,0.0012,,
Crataegus pedicellata,E.G. Voss,15179,16,,,,
Crataegus pedicellata,E.G. Voss,15179,33.5,,,,
,,,,,,,
Crataegus pruinosa,Beverly S. Walters,1379,20.5,,,,
Crataegus pruinosa,Beverly S. Walters,1379,15.8,,,,
Crataegus pruinosa,Beverly S. Walters,1379,11.8,,,,
Crataegus pruinosa,Beverly S. Walters ,1379,20.8,,,,
Crataegus pruinosa,Beverly S. Walters ,1379,16.3,,,,
Crataegus pruinosa,Beverly S. Walters ,1379,13.3,,,,
,,,,,,,
Malus pumila,John V. Freudenstein,1182,17.1,,0.001,,
Malus pumila,John V. Freudenstein,1182,27.3,,,,
Malus pumila,John V. Freudenstein,1182,8.4,,,,
Malus pumila,Robert W. Smith,5999,17.2,,0.0015,,
Malus pumila,Robert W. Smith,5999,31.3,,,,
Malus pumila,Robert W. Smith,5999,14.1,,,,
Malus pumila,William S. Martinus,1213,18.6,,,,
Malus pumila,William S. Martinus,1213,15.2,,,,
Malus pumila,William S. Martinus,1213,26,,,,
Malus pumila,Bradford S. Slaughter,1792,12.3,,,,
Malus pumila,Bradford S. Slaughter,1792,10.4,,,,
Malus pumila,Bradford S. Slaughter,1792,12.6,,,,
Malus pumila,E. G. Voss,15669,21.9,,0.0013,,
Malus pumila,E. G. Voss,15669,23.5,,,,
Malus pumila,E. G. Voss,15669,13.8,,,,
Malus pumila,Phyllis J. Higman,136,,,0.0015,,
Malus pumila,Ruth B. Alford,3965,,,0.0011,,
,,,,,,,
Physocarpus opulifolius,E.G.Voss,13876,9.6,,0.0018,2.9,
Physocarpus opulifolius,E.G.Voss,13876,7.3,,,3.3,
Physocarpus opulifolius,E.G.Voss,13876,6.5,,,3.6,
Physocarpus opulifolius,E.G.Voss,14219,16.8,,0.0021,,
Physocarpus opulifolius,E.G.Voss,14219,12.9,,,,
Physocarpus opulifolius,E.G.Voss,14219,9.1,,,,
Physocarpus opulifolius,John V. Freudenstein,651,12.5,,0.0023 (2),3.4,
Physocarpus opulifolius,John V. Freudenstein,651,14.3,,,3.6,
Physocarpus opulifolius,John V. Freudenstein,651,9.5,,,3.8,
Physocarpus opulifolius,Roger W. Sanders,19,10,,0.002,4.4,
Physocarpus opulifolius,Roger W. Sanders,19,13.3,,,3.9,
Physocarpus opulifolius,Roger W. Sanders,19,11.7,,,6.1,
Physocarpus opulifolius,H. Appel & J. Gendlin,421,20.8,,0.0012,,
Physocarpus opulifolius,H. Appel & J. Gendlin,421,15.8,,,,
Physocarpus opulifolius,H. Appel & J. Gendlin,421,21.3,,,,
,,,,,,,
Prunus serotina,John V. Freudenstein,1543,9.8,,,,
Prunus serotina,John V. Freudenstein,1543,6,,,,
Prunus serotina,John V. Freudenstein,1543,8.8,,,,
Prunus serotina,Russ Garlitz,837,15.4,,,,
Prunus serotina,Russ Garlitz,837,15.1,,,,
Prunus serotina,Russ Garlitz,837,11.3,,,,
Prunus serotina,Stephan Ross,1180,11.7,,,3.3,
Prunus serotina,Stephan Ross,1180,12.7,,,3.5,
Prunus serotina,Stephan Ross,1180,9.9,,,3.9,
Prunus serotina,R.E. Gereau,984,11.5,,,,
Prunus serotina,R.E. Gereau,984,15.9,,,,
Prunus serotina,R.E. Gereau,984,13.1,,,,
Prunus serotina,John V. Freudenstein,1402,14.2,,0.0007,,
Prunus serotina,John V. Freudenstein,1402,13.7,,,,
Prunus serotina,John V. Freudenstein,1402,13.9,,,,
Prunus serotina,Coll. J. Dan Skean Jr. With Viveca Skean,2633,15.2,,0.0009,2.8,
Prunus serotina,Coll. J. Dan Skean Jr. With Viveca Skean,2633,12.6,,,3.2,
Prunus serotina,Coll. J. Dan Skean Jr. With Viveca Skean,2633,10.3,,,2.9,
Prunus serotina,E. M. Chittenden,478,13,,0.0008,2.5,
Prunus serotina,E. M. Chittenden,478,9.7,,,2.9,
Prunus serotina,E. M. Chittenden,478,9,,,3.1,
Prunus serotina,Phyllis J. Higman,218,10.2,,,4.1,
Prunus serotina,Phyllis J. Higman,218,9.4,,,3.3,
Prunus serotina,Phyllis J. Higman,218,10.5,,,3.7,
,,,,,,,
Prunus virginiana,Steven P. Grund,194,10.2,,0.0013,,
Prunus virginiana,Steven P. Grund,194,8.1,,,,
Prunus virginiana,Steven P. Grund,194,11.4,,,,
Prunus virginiana,John V. Freudenstein,1268,16,,,,
Prunus virginiana,John V. Freudenstein,1268,16.2,,,,
Prunus virginiana,John V. Freudenstein,1268,11.4,,,,
Prunus virginiana,John V. Freudenstein,737,16.5,,,,
Prunus virginiana,John V. Freudenstein,737,14.8,,,,
Prunus virginiana,John V. Freudenstein,737,15.3,,,,
Prunus virginiana,John V. Freudenstein,492,12.6,,0.0013,,
Prunus virginiana,John V. Freudenstein,492,11.9,,,,
Prunus virginiana,John V. Freudenstein,492,12.2,,,,
Prunus virginiana,John V. Freudenstein,359,13.1,,0.0009,,
Prunus virginiana,John V. Freudenstein,359,11.4,,,,
Prunus virginiana,John V. Freudenstein,359,7.5,,,,
Prunus virginiana,David C. Dister,31,11.1,,0.0015,,
Prunus virginiana,David C. Dister,31,8.6,,,,
Prunus virginiana,David C. Dister,31,7.5,,,,
Prunus virginiana,Coll. J. Dan Skean Jr.,2645,12.3,,0.0014,,
Prunus virginiana,Coll. J. Dan Skean Jr.,2645,15.6,,,,
Prunus virginiana,Coll. J. Dan Skean Jr.,2645,9.2,,,,
,,,,,,,
Rosa multiflora,William S. Martinus,842,9.1,1.1,,,
Rosa multiflora,William S. Martinus,842,8.8,1.7,,,
Rosa multiflora,William S. Martinus,842,12,2.9,,,
Rosa multiflora,Liana N May,58,7.1,2.3,0.0009,,
Rosa multiflora,Liana N May,58,24.2,2.3,,,
Rosa multiflora,Liana N May,58,15.4,0.8,,,
Rosa multiflora,William S. Martinus,577,14.6,1.3,0.0011,,
Rosa multiflora,William S. Martinus,577,24.6,0.6,,,
Rosa multiflora,William S. Martinus,577,16,0.8,,,
Rosa multiflora,Bev Walters,930,31.9,2.3,,,
Rosa multiflora,Bev Walters,930,30.8,1.4,,,
Rosa multiflora,Bev Walters,930,35,2.1,,,
Rosa multiflora,Carolyn Lyons,1353,19.7,0.8,0.0011,,
Rosa multiflora,Carolyn Lyons,1353,26.3,1.7,,,
Rosa multiflora,Carolyn Lyons,1353,23.1,1.7,,,
Rosa multiflora,Robert W. Smith,687,21.3,1.7,0.0013,,
Rosa multiflora,Robert W. Smith,687,12.1,1.1,,,
Rosa multiflora,Robert W. Smith,687,17.2,1.2,,,
,,,,,,,
Rubus allegheniensis,David C. Dister,717,65.9,2.6,,,
Rubus allegheniensis,David C. Dister,717,7.5,0.6,,,
Rubus allegheniensis,David C. Dister,717,58.6,3.4,,,
Rubus allegheniensis,Ruth B. MacFarlane,4871,58.7,5.3,0.0017,,
Rubus allegheniensis,Ruth B. MacFarlane,4871,14,3.7,,,
Rubus allegheniensis,Ruth B. MacFarlane,4871,53.4,10.6,,,
Rubus allegheniensis,Peter Fritsch,575,79.1,2.6,0.0009,,
Rubus allegheniensis,Peter Fritsch,575,28.8,1.1,,,
Rubus allegheniensis,Peter Fritsch,575,23.3,2.1,,,
Rubus allegheniensis,John v. Freudenstein,1209,47.6,2.1,0.0019,,
Rubus allegheniensis,John v. Freudenstein,1209,33.7,1.8,,,
Rubus allegheniensis,John v. Freudenstein,1209,49.8,0.7,,,
Rubus allegheniensis,Timothy L. Walters,8535,67.6,14.8,0.0016,,
Rubus allegheniensis,Timothy L. Walters,8535,48.8,6.6,,,
Rubus allegheniensis,Timothy L. Walters,8535,39.1,2.4,,,